,purchase_bins_encoded,weekday_encoded,email_text_encoded,email_version_encoded,user_country_encoded,hour
24663,0,3,1,1,0,15
9301,0,6,1,0,0,11
72982,0,6,0,0,0,9
54867,0,3,0,0,2,5
3483,0,5,1,0,0,5
65840,0,3,0,1,2,9
81683,0,2,1,0,2,13
52856,0,2,0,1,0,2
96017,0,2,1,1,2,14
67700,0,3,1,0,0,11
76781,0,0,0,1,0,3
76431,3,1,1,0,0,11
32100,0,0,1,0,0,16
47817,3,2,0,0,0,5
83260,0,5,1,0,1,7
30026,0,5,0,0,0,12
27055,0,3,0,1,0,7
50317,0,6,1,1,0,9
332,0,1,0,1,1,7
33969,0,4,0,1,0,10
68083,0,3,1,1,2,5
58348,0,0,0,1,3,1
96270,0,5,1,0,0,13
29550,3,4,1,0,1,12
8876,3,1,0,0,0,14
84072,0,6,0,0,0,7
70977,0,4,0,0,0,10
93504,0,5,1,0,3,13
8809,0,5,1,1,1,15
58529,3,0,0,1,0,5
53212,0,3,0,0,0,7
68091,0,0,1,1,0,11
99496,0,6,0,0,0,14
73611,0,4,0,1,0,13
52235,0,0,0,1,0,8
29999,0,5,0,1,0,6
1560,0,6,0,0,0,14
24143,3,4,1,0,3,17
75135,3,4,1,1,0,5
41006,3,6,0,0,2,11
31790,0,5,0,1,0,8
4653,0,2,1,0,0,11
79702,0,4,0,1,1,6
83280,3,4,1,1,3,7
93282,0,0,0,0,0,6
61566,0,2,1,1,2,3
37487,0,2,1,1,0,22
66226,0,2,0,0,2,8
72326,3,2,0,0,2,2
56990,0,6,1,0,0,6
402,0,5,0,0,0,2
54865,0,2,0,0,2,11
33936,0,0,0,0,1,9
41661,0,5,0,0,1,12
5868,3,0,1,0,0,6
46636,0,0,0,1,1,6
48569,0,3,0,1,3,10
27475,3,1,1,0,0,3
63098,0,2,1,1,0,3
82281,0,3,0,1,0,5
98284,0,0,0,1,1,3
43312,0,1,0,0,1,9
89846,0,5,0,1,0,6
72802,3,6,0,0,0,3
13379,3,0,0,0,0,19
93364,0,3,1,1,3,5
1279,0,3,0,1,0,16
86554,3,4,1,1,2,7
14482,0,5,1,0,2,17
53526,1,3,1,0,0,13
39970,0,3,1,1,0,15
11711,1,5,0,0,0,10
40381,3,2,0,1,3,9
24007,0,4,1,1,0,6
12326,3,3,0,1,0,8
44661,0,4,0,1,3,11
41664,0,3,0,1,0,7
25245,0,1,1,1,0,6
81395,0,2,1,1,0,1
18822,0,1,0,0,1,13
85904,0,6,0,1,0,6
46197,3,0,0,1,3,11
18312,0,1,0,0,0,13
61668,0,1,0,1,0,15
95660,3,3,0,1,1,11
76755,0,6,0,0,3,7
20635,0,1,0,0,1,5
47328,0,5,1,1,0,6
33900,0,0,0,1,0,6
74047,0,4,1,0,2,10
63320,0,0,0,1,2,6
30040,3,4,0,1,1,9
31094,0,6,1,0,1,7
14381,0,0,1,0,0,9
89318,0,3,1,0,1,11
83087,0,1,1,1,0,8
87009,0,6,1,0,1,14
50635,0,3,0,0,0,4
68991,0,6,1,1,0,2
86657,0,3,1,0,0,4
8855,0,6,0,0,0,7
9055,1,1,0,0,0,8
52347,0,5,0,0,0,13
7652,0,0,1,1,0,10
83667,0,3,0,1,3,12
77762,0,5,1,1,3,7
59442,1,0,0,1,0,11
57312,0,5,1,1,0,10
66398,0,0,1,0,0,13
36624,0,5,1,0,0,6
53778,0,1,0,0,2,8
45701,1,5,0,0,0,1
47305,0,6,1,0,0,6
65021,0,2,1,0,3,11
97477,0,4,1,0,0,9
13764,0,3,1,0,0,14
68213,0,1,1,0,1,1
25548,0,2,1,0,0,9
8619,0,2,0,1,0,12
60563,3,4,0,1,2,3
90162,0,4,1,1,0,15
23279,0,3,1,0,0,14
67180,2,6,1,1,0,9
55595,0,6,1,1,3,14
72719,0,6,0,0,1,8
85260,3,6,1,0,0,3
69231,0,3,0,1,0,3
60642,0,2,0,0,1,7
6191,0,5,1,0,0,16
10175,0,1,1,0,2,13
16932,0,5,0,1,0,10
48064,3,3,1,1,1,8
22165,0,3,0,0,2,6
71691,0,3,0,0,1,9
89996,0,3,1,0,2,7
41865,3,1,0,1,3,12
26443,0,6,0,0,1,6
19411,3,2,1,1,0,13
26027,1,5,0,1,0,9
50519,0,5,1,1,1,8
91339,0,3,1,0,3,1
81989,0,4,0,1,1,4
82188,0,1,1,1,0,2
21361,0,0,0,1,0,14
40383,0,5,0,0,0,9
1064,0,6,0,1,0,9
3704,0,4,1,0,0,1
8050,3,1,0,1,1,8
99419,0,3,1,1,0,4
78525,3,1,0,1,0,6
11103,0,1,0,1,0,3
95673,3,5,1,1,0,2
45856,0,5,1,0,3,6
20486,0,3,1,0,1,6
52915,0,2,1,1,0,2
16868,0,0,0,1,0,7
64424,1,1,1,0,0,6
82109,0,3,1,0,0,11
4576,0,5,0,1,3,1
7128,3,0,0,1,0,6
40521,0,4,0,0,2,11
99621,3,3,1,0,1,6
5673,0,2,0,1,0,6
14796,3,0,0,1,0,13
41886,1,3,1,0,1,10
83917,0,1,0,0,0,5
92716,0,2,0,1,0,9
6575,0,0,1,1,0,3
15111,0,4,0,0,2,11
76845,0,6,0,0,0,10
89200,0,1,1,0,1,13
97415,0,5,1,1,1,17
71205,0,3,1,0,3,15
37941,3,2,1,1,0,5
50976,3,1,0,1,0,13
32857,0,3,1,1,0,7
3393,3,6,1,1,0,22
45386,0,3,0,1,0,7
50928,0,3,0,0,0,9
13565,0,5,1,0,0,7
72334,0,1,1,0,0,14
47314,3,4,0,1,0,7
61934,0,6,0,0,1,15
16058,3,0,1,1,1,4
83382,0,0,1,1,0,12
61004,3,2,1,1,3,3
34988,0,5,1,0,2,5
55051,0,2,1,1,0,13
82400,0,2,1,0,3,11
4371,0,0,1,0,0,14
12137,0,1,0,1,1,13
70583,0,3,1,1,0,15
72823,0,4,1,0,0,2
83758,0,4,0,0,0,7
42004,0,4,1,1,0,10
73733,0,0,0,0,3,1
29462,0,6,1,0,1,10
41821,0,5,1,0,0,12
29679,0,1,1,0,1,17
44213,0,4,1,0,1,7
96009,3,4,1,1,0,10
63700,0,1,0,0,1,10
6313,0,5,0,0,0,12
73852,0,3,1,0,0,16
85103,0,1,1,1,0,7
57391,3,2,1,1,1,8
72191,0,0,1,0,0,8
60863,1,5,0,0,1,12
96523,0,4,0,0,3,15
57009,0,6,0,0,0,3
7173,0,3,0,0,0,10
40977,0,3,0,1,0,10
76415,1,2,1,1,2,2
86013,3,4,0,0,0,11
46763,0,6,1,1,0,5
7639,0,1,1,0,0,8
44190,1,2,1,1,0,14
1005,0,3,0,1,0,4
52681,3,5,0,0,1,7
37372,0,2,1,1,0,3
33224,3,3,0,1,0,16
22159,0,2,0,1,0,13
74378,0,6,0,0,1,13
84621,0,0,1,1,0,11
59599,0,1,1,0,2,9
17335,0,4,0,0,0,9
61884,0,4,1,1,0,13
95880,0,5,0,1,3,11
52650,0,2,0,1,0,8
95897,3,2,0,0,1,4
60482,0,1,1,0,1,8
63392,3,2,1,1,2,8
6945,0,4,0,0,0,10
20065,0,2,1,1,0,2
54870,0,2,0,1,0,8
37061,0,2,1,0,0,13
73467,0,4,0,0,0,5
69860,0,4,0,1,2,6
40221,0,4,0,0,0,11
62084,3,1,0,0,0,9
7098,0,4,0,0,0,11
44715,0,0,1,0,0,17
93333,0,6,1,0,0,11
9994,0,2,1,1,3,11
81252,0,0,0,1,1,1
37558,0,6,0,1,0,7
42910,0,5,1,0,0,12
22244,3,4,0,0,0,8
71618,0,0,1,1,1,12
45336,0,3,0,1,2,1
25585,3,0,0,1,0,14
72375,0,4,0,0,1,9
56735,0,5,1,0,0,15
24934,3,4,1,1,2,6
46560,0,6,0,1,1,15
8910,0,3,1,0,0,4
41964,0,0,0,0,0,9
8970,3,3,0,0,0,15
95549,0,2,0,1,0,4
64605,0,0,1,1,0,14
18512,0,4,1,0,1,6
12814,0,2,0,0,1,5
84829,0,4,1,1,0,7
65081,0,0,0,0,0,2
14462,0,4,0,0,0,10
30019,0,5,1,0,0,3
25913,0,6,1,1,0,13
77452,3,3,1,1,3,8
1403,0,2,0,0,0,7
55570,0,1,0,1,1,7
54013,0,6,0,1,0,8
30773,3,4,1,1,0,6
95035,0,5,1,1,0,14
77178,0,0,0,0,0,4
27742,0,3,0,1,3,10
22397,0,5,1,1,0,4
61217,0,1,0,0,0,9
92640,0,6,1,1,2,8
73567,3,6,1,1,2,2
98133,3,1,0,1,2,2
77857,3,4,1,0,0,6
71035,1,0,1,0,3,2
89310,0,5,1,1,2,14
88981,0,2,1,1,3,4
93865,0,0,1,1,0,9
90565,0,0,0,0,0,12
26809,3,6,0,1,0,6
3342,0,6,1,0,0,13
90239,0,6,0,0,0,8
82312,3,4,1,1,0,15
81043,3,2,1,0,1,11
45377,3,2,1,0,0,15
29132,0,2,0,1,0,6
69942,3,1,1,0,3,8
2926,0,6,1,1,0,15
26686,0,4,1,1,0,3
67718,3,5,1,0,0,2
13232,0,1,0,0,2,9
8867,0,3,0,1,0,3
99793,3,6,1,0,1,12
34211,0,1,1,1,1,8
95023,3,0,0,0,1,14
55132,0,5,0,0,1,2
96767,0,0,1,1,1,8
34539,3,6,1,0,0,6
25060,3,3,1,0,1,5
36885,0,6,0,0,0,8
39028,3,1,0,1,0,6
41605,3,0,0,1,3,7
59738,1,3,1,1,0,3
6349,0,3,0,1,0,9
7321,0,5,1,1,0,12
43594,0,6,1,1,1,3
92650,0,2,1,0,0,12
42236,0,5,1,0,0,7
39593,0,2,1,1,0,7
28470,0,5,0,1,1,16
31114,0,4,0,0,1,16
54318,0,2,0,1,1,7
65546,0,1,0,0,0,10
59493,0,5,1,1,0,8
12671,0,3,0,1,0,8
14256,3,0,0,0,0,14
51095,0,3,0,1,0,3
71386,0,3,0,1,0,4
60929,0,5,0,1,1,12
65312,0,5,1,1,0,15
71437,0,4,0,0,2,13
26774,0,0,1,0,0,10
50589,0,5,1,0,0,7
68599,1,1,1,1,0,19
52588,0,4,1,0,0,14
10373,3,3,1,1,0,1
29501,0,4,1,0,2,12
98991,0,1,1,0,1,4
35406,0,3,0,0,1,14
81019,0,1,1,1,0,3
89853,3,4,1,0,1,4
66903,0,2,1,1,0,10
53557,3,6,0,1,0,11
60680,0,2,1,1,1,18
3676,0,6,0,0,0,7
77923,3,6,1,0,0,12
31102,0,4,1,0,0,11
81142,0,6,1,0,1,1
1973,3,6,0,1,0,8
82477,0,5,0,1,2,6
12723,0,3,0,1,0,8
93794,0,0,1,1,0,13
10308,3,4,1,0,0,11
46059,0,0,0,0,0,11
46971,0,0,1,0,3,6
41869,0,1,1,1,1,10
13771,3,2,1,0,0,9
87062,0,1,0,0,0,10
25756,3,3,1,0,0,13
4466,0,3,0,1,0,8
41149,0,3,1,0,3,15
30444,0,4,1,1,2,1
73087,3,5,1,1,3,11
7428,0,4,0,0,0,5
50473,3,4,1,1,0,1
48334,0,5,1,1,0,7
36980,3,0,1,1,3,6
30534,3,5,1,0,3,10
18880,0,2,1,1,0,7
9911,0,2,0,0,2,11
24515,0,0,1,1,1,14
4069,0,4,1,1,0,7
54625,3,5,0,0,0,12
54225,0,5,1,1,0,14
30089,3,3,0,1,0,14
33605,0,6,0,1,1,9
85202,0,6,1,1,0,8
47050,0,6,0,0,0,9
96389,0,0,1,1,0,11
66720,3,6,1,1,0,17
75143,0,5,1,1,1,19
18138,0,5,0,1,3,4
41352,0,4,1,1,0,10
52799,0,4,0,1,0,2
35082,3,6,1,0,3,11
78774,0,0,1,1,0,2
5134,0,6,1,1,1,10
8734,0,4,0,0,3,18
23049,0,1,0,0,3,11
67048,3,0,0,1,1,6
44505,0,0,0,1,0,7
94320,0,4,1,1,2,9
13154,3,4,0,1,3,8
69803,0,2,1,0,0,7
70856,0,3,1,1,3,15
84401,3,1,0,1,0,14
29603,0,5,1,1,0,10
45643,0,4,0,0,0,15
33797,0,0,0,0,0,8
30200,3,0,0,0,0,8
9625,0,2,1,0,0,5
20999,0,6,0,0,0,16
62786,3,4,0,1,1,4
40761,0,1,1,0,0,13
33340,0,6,0,0,0,3
42678,0,1,1,1,0,6
61763,0,0,1,1,0,11
67164,0,5,0,0,0,2
38913,0,4,0,1,0,18
99784,3,4,1,1,1,3
67312,0,1,1,1,1,6
90072,0,5,0,0,0,4
42027,0,1,0,0,3,6
49666,3,0,0,1,0,3
86365,0,5,1,1,0,7
33993,0,4,0,0,0,10
29615,0,4,1,1,0,13
39714,0,0,0,1,0,16
68815,3,2,1,1,0,9
72836,0,4,0,0,1,4
69562,0,2,1,0,2,9
8430,3,3,1,0,2,6
35972,0,1,0,1,2,7
14165,0,2,1,1,1,5
43567,0,1,1,0,0,4
51868,3,4,1,1,0,8
84184,0,6,1,0,0,2
5712,0,1,0,0,0,9
68249,0,3,0,1,1,14
95065,0,2,0,1,3,5
30459,3,2,1,0,0,9
63364,3,3,1,0,2,11
19102,3,0,0,0,0,13
9135,0,4,0,0,0,1
30545,0,4,1,1,0,16
19006,0,0,1,0,0,20
21360,0,3,1,1,0,14
49355,3,2,0,1,1,2
16089,0,3,1,1,3,19
1995,0,4,0,1,0,19
29661,3,5,0,1,0,15
62064,0,5,0,1,0,8
72558,0,6,1,1,1,17
33665,3,3,1,0,1,6
9973,0,2,0,0,0,13
87547,0,0,0,1,0,6
77346,3,6,1,0,0,13
40899,3,6,0,0,0,11
99925,0,3,1,1,3,2
22881,0,2,0,1,3,9
97137,0,2,0,0,0,12
17263,0,6,1,0,0,4
61450,0,3,0,1,2,10
63018,0,1,1,1,0,9
4766,0,3,1,0,0,9
89483,3,1,0,1,0,12
72137,3,1,0,1,0,11
14745,3,3,0,0,0,15
73285,0,0,1,1,1,2
47466,0,4,0,0,0,11
71440,0,3,1,1,0,8
49596,1,2,1,1,2,1
12636,0,5,0,1,0,21
40774,3,0,0,0,0,5
70016,0,2,1,0,1,3
59769,0,1,0,1,0,6
35283,0,6,1,1,0,12
982,0,6,1,1,1,6
43780,0,3,1,1,0,12
66214,3,1,1,1,1,5
21987,0,0,0,0,0,8
77296,0,4,0,1,3,9
57068,0,5,0,0,3,15
67307,0,4,0,0,0,12
74831,0,2,1,1,1,7
72912,0,0,0,1,0,6
59164,3,1,1,0,0,13
18514,0,2,1,1,2,4
42155,3,3,0,0,0,15
92025,0,1,0,0,3,2
94004,0,2,0,0,0,8
28716,3,0,0,0,2,2
21415,3,3,1,0,0,10
21512,3,3,0,1,0,13
12373,0,4,1,1,1,2
30279,3,4,0,0,0,12
8018,0,2,0,1,2,2
36867,0,4,0,1,0,20
87977,0,3,0,0,0,9
64726,0,2,0,1,0,5
55740,3,4,1,1,1,1
10399,3,1,1,1,3,5
95650,0,4,0,1,0,13
86692,0,0,1,1,0,12
75233,0,5,0,0,2,8
71645,0,6,0,0,0,2
37479,0,3,0,1,0,3
51631,0,4,0,0,1,11
57469,3,2,0,1,0,5
18294,1,5,1,1,0,11
57073,3,3,1,0,0,11
4493,0,4,0,1,0,10
39728,0,0,1,0,0,7
15900,3,0,0,0,0,11
57295,3,5,1,0,0,11
46980,0,4,1,0,3,3
80906,0,0,0,0,0,3
21953,3,2,1,1,0,9
7819,0,6,0,1,0,13
87521,0,3,0,0,1,5
41898,0,6,0,1,0,18
76028,0,6,1,1,0,12
2201,3,5,0,1,3,11
10965,0,1,0,0,2,11
42506,3,2,0,1,1,10
98782,1,1,1,0,2,9
28689,0,0,0,1,1,9
18631,3,1,0,0,0,14
54593,0,1,0,0,0,5
64792,0,6,1,0,3,12
2674,0,5,0,0,0,1
2680,0,2,1,1,0,8
31311,3,4,0,1,1,12
75437,0,6,0,0,0,8
15467,0,4,1,0,0,8
91862,0,4,0,1,0,8
14826,0,4,0,0,0,13
8145,0,6,1,1,0,2
73259,0,5,1,1,3,7
62414,0,5,0,1,0,4
361,0,2,0,1,1,10
48781,0,3,0,1,0,17
71669,1,5,1,1,3,1
59934,0,0,0,0,0,7
83698,0,5,0,0,0,10
91887,0,5,1,1,0,7
66275,3,1,1,0,1,3
89224,3,6,1,1,0,15
72556,3,1,1,1,3,8
37080,0,0,0,1,0,3
42671,3,2,0,1,0,1
44233,0,0,1,1,2,8
59799,3,1,0,0,0,4
39782,0,5,1,0,0,13
72904,0,1,0,0,0,12
64783,0,2,0,1,0,4
32198,0,5,1,0,2,13
71355,0,6,0,0,0,7
20283,0,4,0,1,1,13
91847,0,3,1,1,0,14
58787,0,1,1,1,3,12
84181,1,2,0,0,0,11
35933,3,6,1,1,0,9
58678,0,6,0,0,0,13
67123,0,6,1,1,1,9
24698,0,5,1,0,0,12
12642,3,0,1,1,1,8
2241,0,2,1,0,0,11
99718,0,3,1,1,0,5
42310,0,3,1,0,2,6
24275,0,5,1,1,2,4
16509,0,5,1,0,1,11
99783,0,5,0,0,0,8
3042,3,3,1,1,0,6
34754,0,3,1,1,3,7
72362,0,6,0,1,0,10
72192,1,5,0,0,0,12
75404,3,1,0,1,2,12
77245,0,2,0,0,2,8
36416,3,0,0,0,3,2
18005,0,6,0,1,0,1
87349,0,2,1,0,0,10
56073,0,4,0,1,0,15
40453,0,2,0,0,1,13
46354,0,6,0,1,0,15
3357,3,5,0,1,1,10
32519,0,2,1,1,0,6
92822,0,6,0,1,0,5
88795,0,6,0,1,0,6
7380,0,5,0,0,0,4
50750,0,0,0,0,0,16
74036,0,0,0,0,0,8
94441,3,6,1,1,0,6
16112,0,1,1,1,1,15
75553,3,5,1,1,1,1
50963,3,2,1,1,0,7
89670,0,6,1,1,1,13
76508,0,0,1,0,0,9
48603,3,6,1,1,0,13
255,0,0,1,1,3,16
38700,3,2,0,0,0,7
49405,3,5,0,1,0,1
6193,3,3,0,0,0,6
89442,0,6,1,0,0,5
35004,0,1,0,0,0,6
82891,0,3,0,0,3,17
93637,0,6,1,0,0,12
50101,0,0,0,1,0,5
22658,3,1,1,1,1,9
8173,0,0,1,0,0,11
73378,0,3,1,0,2,8
91476,0,1,1,1,0,10
76401,0,3,0,0,0,6
28198,0,5,0,0,1,17
37756,3,3,1,1,3,5
71215,0,4,0,0,0,10
94920,3,6,0,0,0,13
26656,3,4,1,0,2,15
19464,0,5,1,1,0,13
58130,0,4,0,1,3,10
76641,0,1,1,1,0,8
37677,3,5,0,0,0,14
20404,0,3,0,0,0,3
90490,3,6,0,1,0,5
42799,0,4,1,0,0,10
84823,0,0,1,1,0,10
5688,3,2,0,0,3,12
53704,0,2,0,1,0,4
60589,0,0,1,0,0,8
74374,1,1,0,1,0,14
97441,0,6,0,1,0,4
57882,3,2,1,0,0,13
65465,0,0,1,1,0,11
24679,0,2,0,0,0,6
24528,0,3,1,0,1,7
13657,0,6,0,1,0,4
91726,3,6,1,0,0,4
95778,0,5,1,1,0,7
96667,3,2,1,1,2,5
40478,0,6,0,1,0,11
80864,3,1,0,1,0,5
33677,3,5,1,0,0,14
51255,0,1,0,1,1,9
70869,0,5,0,1,0,6
8483,3,5,0,1,0,8
45784,0,5,1,1,2,8
25984,3,6,1,0,1,7
20292,0,5,0,1,2,2
61680,0,3,0,1,0,8
5557,0,5,1,0,3,3
91872,0,6,1,0,3,2
34487,3,6,1,1,1,6
10543,0,1,0,0,2,11
23670,3,0,0,1,0,11
6992,0,2,0,0,0,5
84868,0,4,0,0,0,5
46679,3,2,0,0,3,12
48896,1,3,1,0,1,16
53828,3,0,1,1,0,2
51385,0,5,1,1,2,1
11933,3,0,0,1,0,7
77940,1,6,1,1,0,11
66408,0,5,0,0,2,7
25710,0,4,0,0,3,5
41887,3,1,0,0,0,3
40413,3,4,0,0,0,7
25255,0,3,1,1,1,15
96063,0,2,0,1,1,5
98710,1,0,1,1,0,11
7199,0,4,1,1,3,15
40117,0,6,1,0,1,6
81373,0,6,1,1,0,10
5015,0,0,0,1,1,11
27481,3,5,1,0,0,8
77525,0,1,0,0,0,14
17499,0,6,0,0,0,9
85261,0,6,1,0,0,4
91852,3,0,1,0,2,4
23171,0,1,1,1,0,5
99970,0,4,0,1,1,13
87975,3,1,0,0,0,15
21476,3,2,0,0,0,2
45132,0,5,0,1,1,13
20873,0,2,0,1,1,12
20640,0,5,1,1,1,2
64776,0,0,1,0,2,12
38542,2,4,1,0,3,7
17690,0,4,0,1,0,6
62101,0,2,0,1,0,8
92624,0,4,1,1,1,9
50881,0,6,0,0,3,4
37539,0,4,1,0,0,17
66986,3,0,1,0,3,7
9983,0,2,0,1,0,14
20507,0,4,0,0,0,10
44298,0,0,1,1,3,10
71883,3,1,0,0,2,8
47743,0,3,1,0,0,1
32563,0,1,0,1,0,13
92642,0,3,1,1,0,11
95653,0,6,0,0,3,9
84862,0,4,1,1,0,10
24255,0,0,1,1,1,8
91794,0,4,1,1,0,4
21244,0,0,1,0,0,12
10084,0,1,0,0,0,1
35449,0,0,1,1,0,5
2598,0,1,1,1,1,16
91359,3,0,1,1,0,7
45042,0,6,1,0,2,9
61776,0,1,1,0,1,6
43768,0,5,1,1,0,8
49865,0,4,0,0,0,3
49888,0,3,1,0,0,11
18012,0,3,1,0,0,8
71840,0,4,0,1,3,11
63333,3,1,0,1,0,4
40824,0,5,0,1,0,11
45718,0,3,1,0,0,12
7417,0,6,1,0,0,13
24392,0,4,0,1,0,9
30569,3,4,1,0,0,15
76379,0,2,1,1,1,7
74298,3,2,0,1,1,18
32449,0,2,0,1,0,14
54094,0,5,0,1,0,10
45608,0,3,0,1,2,9
36467,0,0,1,1,1,9
93908,0,5,0,1,2,13
52613,1,3,1,0,2,9
20487,0,3,1,0,0,14
69892,3,3,1,1,3,2
15785,3,6,0,1,0,8
97429,3,1,1,1,0,5
26953,0,5,0,1,1,4
68126,3,0,1,1,3,13
43796,0,5,1,0,3,12
46945,1,3,0,1,0,8
3993,0,2,1,0,1,15
23739,0,4,1,1,0,7
43447,0,2,1,0,0,5
39364,3,2,1,0,0,15
2108,0,2,1,0,0,2
63775,0,6,1,0,0,3
40514,1,5,1,1,3,11
64505,0,2,0,1,1,10
50466,0,0,1,1,3,7
8739,3,1,0,0,1,6
82733,0,1,0,0,1,17
13298,0,3,0,0,0,9
36385,3,6,1,0,0,10
27882,0,0,0,0,2,18
53132,3,6,0,0,0,12
30184,0,6,0,1,0,18
19013,0,2,1,0,2,6
39807,0,0,0,0,0,6
30867,0,3,0,0,2,4
68786,0,5,0,0,0,13
53178,0,6,1,0,0,16
78301,0,0,1,1,0,10
34026,0,2,0,0,0,22
99777,0,4,1,1,1,10
35421,0,4,1,1,1,9
3629,0,3,0,0,0,13
48428,0,2,0,0,3,6
6556,0,5,0,1,0,8
41127,3,1,0,1,3,15
45941,0,5,0,0,0,8
97828,0,3,0,0,0,11
22023,3,6,0,0,0,12
30090,0,2,0,1,2,14
47145,0,0,1,1,1,16
1466,2,3,1,1,1,8
91282,3,0,0,1,0,1
86447,0,2,1,0,0,10
92954,0,3,0,1,3,12
74959,0,1,1,1,0,8
22411,0,5,1,1,3,8
978,3,5,0,1,0,1
24953,1,0,1,0,0,18
57554,0,5,0,0,2,3
23061,0,3,1,1,2,9
94983,3,3,1,1,1,13
59963,0,2,1,0,2,9
85121,3,6,0,1,0,8
31578,0,4,1,0,0,4
27044,3,5,1,0,0,2
74668,0,4,1,1,3,7
14325,0,3,1,0,3,2
16928,0,0,1,0,0,8
18334,0,5,0,0,0,11
14206,3,2,1,0,0,14
68322,3,0,0,1,1,3
864,3,5,0,0,0,14
21772,3,6,0,0,0,8
70343,0,3,1,0,0,7
78217,0,3,0,1,2,13
43753,1,2,0,0,0,11
38138,0,1,1,0,3,16
45367,0,3,0,0,0,7
98928,0,0,0,0,0,6
11543,3,4,1,0,3,15
73857,3,1,0,1,2,6
55876,3,3,0,0,0,14
15271,0,3,0,0,0,12
22747,0,3,1,1,3,7
60426,0,2,1,1,2,10
43778,0,1,0,1,0,8
77604,0,2,1,0,1,8
71672,3,2,0,1,0,9
85279,0,5,0,0,0,4
55423,0,6,1,1,0,9
19569,3,3,0,0,0,10
18159,0,5,1,1,0,6
66843,0,4,0,0,2,12
5723,0,0,1,0,0,7
69340,0,2,0,0,1,9
51087,0,1,0,0,0,3
43100,2,5,1,1,3,9
55728,0,6,0,1,0,4
82438,0,0,0,0,1,10
28962,0,2,1,0,0,6
90410,0,1,0,1,0,18
92458,3,0,0,1,1,1
41047,0,2,0,0,3,10
25722,0,4,1,0,1,4
93109,3,1,1,0,3,12
98399,3,6,1,0,0,18
2112,0,2,0,0,1,3
18557,0,3,0,1,0,10
72195,0,6,1,1,0,9
57372,0,1,1,1,0,13
49266,3,1,1,1,2,12
9559,0,3,1,0,2,10
25637,3,6,1,0,3,4
31120,3,1,0,0,0,12
87203,0,1,1,0,1,8
93182,0,0,0,1,0,2
38876,3,1,1,0,0,9
2555,0,4,0,0,0,1
85790,0,0,0,0,0,1
38209,0,1,0,0,2,9
34246,0,1,1,1,0,11
31661,0,1,1,1,0,8
7775,0,1,0,0,0,6
6409,0,4,1,0,0,19
44636,0,0,1,1,2,3
91315,3,5,1,0,0,4
5274,0,4,0,1,0,6
19254,0,2,1,0,0,10
74032,0,2,1,0,0,4
47787,0,2,1,0,0,2
57790,3,5,0,0,2,9
40299,0,0,1,0,0,10
61772,0,3,0,1,0,11
45416,3,0,0,1,0,18
12537,0,6,1,1,3,8
60378,3,1,1,0,1,12
87758,0,0,1,0,1,4
93993,0,3,1,0,0,4
41457,3,4,0,0,0,7
57491,3,0,0,0,1,6
48459,0,0,0,0,0,14
47197,0,4,1,0,0,14
75866,3,2,1,0,1,10
47808,0,6,0,0,0,12
32895,0,3,0,1,0,9
23085,0,3,0,1,0,6
11165,1,0,0,0,0,18
17318,0,1,1,0,0,5
67703,0,5,1,1,0,16
